,0
63,넘 이쁘죠 ㅎㅎ 지갑을 탈탈 털게 만드는 아이들이 넘 많아요 ㅜㅜ
64,성격상 자수는 못할꺼같고 잔세트는 탐나네용😆😆
65,ㅎㅎ 잔세트는 진짜 이쁘죠? 저도 조만간 지르러 갈꺼같아요 ㅜㅜ
66,블로그 들렸다 가요좋은 하루 되세요 ^^
67,반갑습니다 :)날씨가 추워졌어요.짧은 가을 즐겁게 보내세요!
68,"좋은 내용이네요 ㅎ 
공감 클릭하고 갑니다 @.@"
69,반갑습니다 :)늘 건강하시고 블로그에서 자주 만나요!
70,공감가는 내용이네요 ๑◕‿‿◕๑
71,반갑습니다 :)늘 건강하시고 블로그에서 자주 만나요!
72,"박캐스트님께서 정성스럽게 올려주신 글 잘 보고갑니다 '-"" 
작성해주신 내용 참고하겠습니다 ㅎㅎ"
73,반갑습니다 :)늘 건강하시고 블로그에서 자주 만나요!
74,포스팅이 너무 좋네요! 덕분에 잘봤습니다~
75,반갑습니다 :)늘 건강하시고 블로그에서 자주 만나요!
76,정말 꼼꼼해야 할 수 있을것 같아요정성 만땅입니다
77,하는법은 워낙 간단하고 쉽고 재미있어서시작만 하면 재미있게 빠져서 할 수 있답니다.^^
78,이야 큰액자만한 크기라서 한알한알...눈 아프겠눈데요?^^;;이쁘고 오히려 잡안이 더 고급스러운 너낌~!^^;;하고싶어도 더는 취미 들이지말라는 엄마 잔소리가.....ㅡ.ㅜ그래서 포기하고 눈구경만으로도 할려고요 ㅎㅎㅎ
79,중독성 엄청나~~ㅎㅎㅎ내가 이렇게 빠져서 하게될 줄 몰랐거든.처음에 저런거 누가 하냐고 했다가 내가 이렇게 계속하게 될줄 누가 알았겠어.ㅋ~자꾸 아른거려서 잠을 포기하고 한다니까는.
80,장미도 시작 안해서 그렇지아마 시작하면 내 말이 뭔 소리인지 딱 알게될거야.ㅎㅎ완성하고나면 요것이 워낙 예뻐서 안 할수 없거든하면서도 예쁘니까 조금만 더 더 그렇게 자꾸 하게되.십자수랑은 비교 안되게 간단하고 쉬우니까.^^
81,넘 하고싶어지네요 울쩍! ㅋ 일단 공예는 몇가지 안하는데 재료만 벼룩 판매할려니 안되서....ㅋㅋㅋ 더는 늘리지 않고요....흐흐 보석십자수 잼나겠는데요?^^;;;;;
82,큰거 말고 작은거 해보면 좋은데...나도 재미있어서 권하기는 하지만 충분히 늘리면 안되는 그 마음도 알기에..ㅎㅎㅎ뭐라고 콕 집어 하기도 참으로 그렇다.ㅎㅎ
83,상상속으로 해보눈걸로요 😆
84,잘보고갑니다즐거운저녁되세요
85,올크린님~~반갑습니다.대전은 비가 많이 내리고 있어요.낮에는 맑은 가을하늘이 참 예뻤는데..내일까지 비 많이 올듯 하더라고요.편안한 저녁 보내세요~^^
86,이거 해봤는데시간가는줄 모르겠고...한번 잡으면 끝장보려고새벽까지 하게되네요 ㅎㅎ
87,맞아요.ㅎㅎㅎ은근 중독성 엄청나요.멈춰야 하는데 조금만 더 조금만 더.ㅎㅎㅎ
88,오오  중독성있는 취미였군요
89,네~~저도 요번게 다섯번째였답니다.지금 여섯번째 진행중이고요.^^아마도 당분간은 쭉~~이어질듯 하고요.^^
90,멀리서 보니 사진 같습니다. 해바라기라...집에 좋은 기운을 가져올거 같아요 수요일이 백신 접종일이시군요무엇보다 마음이 편안한게 최고더라구요 편안하게 가세요~~~~
91,그러니까요. 편안하게~~~ㅎㅎㅎ이론은 되는데...괜찮았는데...분명월요일이 딱 되니까 은근 걱정이 되더라고요.^^;;;주사 전혀 겁나지 않는편인데..백신은 뭐가 달라도 다르네요
92,안녕하세요^^ 포스팅 잘보고 공감 누르고 가요 ㅎㅎ!오늘 남은 시간도 좋은 하루 되시구요! 저도 오늘 포스팅올려봤으니 답방오셔요><!
93,공감 감사합니다.^^중독성이 은근 강한 보석십자수거든요.정말 재미있게 하고 있어요.ㅎㅎ네~~지금 바로 놀러갈게요.^^
94,해바라기 보석십자수 정말 매력있는 걸요~
95,해바라기꽃 좋아해서 해보고는 싶었는데..다 비슷비슷해서 망설이다가 딱 요 뜨개바구니 같은 것 보고는흔하지 않아서 마음에 쏙 들더라고요.^^더운 여름에 가을맞이용으로 시작했는데..탁월한 선택이였던것 같아요.완전 만족스러워요.^^
96,"어머나 세상에 이렇게 큰 액자를 직접 하신거에요? 울애들 비즈십자수 한다고 해서 아주 조그만한거 했는데 눈 빠지는 줄 알았거든요 ㅎㅎㅎㅎ 해바라기 라서 뜻도 좋고 , 이쁘기도 해서 인테리어로 넘좋네요 거실에 딱 어울려요 ^^"
97,네~가을 인테리어 액자겸 풍수지리까지ㅎㅎ겸사겸사 두루두루 다 생각하면서 해바라기 일부로선택해서 했거든요.^^해바라기가 워낙 흔하고 많아 일부로 흔치않은 뜨개바구니 느낌나는것으로 딱 제 스타일이라 맘에 더 들었거든요.그래서인지 해놓고 훨씬 만족스러워 정말 좋아요~^^하루 조금씩 나눠서 오랜기간  천천히 해왔던거라 무리없이 재미있게 하기 딱 좋았어요.^^
98,이거 해보고싶더라고요! ★★
99,꼭 해보세요. 저 요게 다서번째거든요.^^저는 이거 누가하는데? 했던 사람인데 즐기며 하고 있답니다.ㅎㅎ
100,와~~~ 정말 대작이네요~^^한땀 한땀 딸과 함께한 시간이 담겨있어 더 의미있는 작품이겠어요시작하면 놓을수 없을것같아 못하고 있는데바구니에 담긴 해바라기 정말 예쁘네요~~
101,흔하지 않은 해바라기라서 더욱 좋았는데해놓고는 더 마음에 쏙 들어서 좋아요~^^수 놓는 십자수에 비하면 금세 할수 있는거라서그저 감사하죠.ㅎㅎ예전에 더 큰 십자수 몇 달에 걸쳐 했던적도 있었으니참 대단했었죠.하는 과정들이 좋은거라 그 시간을 즐기는게 참 좋고작품 마다에 그때의 추억들이 함께 담겨있으니그래서 더 좋은거같아요.^^
102,와우 십자수 쉽지 않던데요..해바라기 큰사이즈를 다 완성하시다니대단하세요 가을 분위기랑 잘 어울리네요☆^^☆
103,계절중 가을을 좋아하고 해바라기꽃도 좋아하거든요.^^가을맞이용으로 준비해본 보석십자수인데 또 흔하지 않은 요 해바라기가 눈에 딱 들어와서무척 반갑고 좋았거든요.끌림 같은...^^해 놓으니 훨씬 멋져서 더 좋아요.감사합니다.
104,와 한땀한땀 대단하세요👍 넘 이쁘지만... 엄두가 안나네요😭
105,리얼 한 땀의 십자수에 비하면 초간단인걸요.보석십자수는 그야말로 엄청 속도 빠른거죠.^^
106,
107,전문가님이 최고라 해주시니 감사합니다.^^
108,저도지금 도전중이예요^^
109,와~ 어떤거 하고 계시는지 궁금해요.화이팅입니다.완성후 보여주세요~~^^
110,네^^
111,저희집 현관입구에도 해바라기가 피어있네요~~
112,허니브라운님도 풍수지리 좋은기운을 받으시기를요~^^오늘도 좋은날 되세요.저는 1차백신 맞는 날이라 은근 긴장되고 있습니다.^^;;
113,넘 이쁘게 잘하셨네요~~ diy명화그리기 해봤눈데 진짜 부서지는 줄 알았어요 온몸이..ㅋㅋㅋㅋ 비쥬로 하는 거는 좀 더 쉽지 않을까 싶으면서도... 오래 고생하셨겠죠...? 그래도 넘 이뻐서 고생한 보람이 있네요😊ㅎㅎ
114,비비님~ ^^명화그리기 어떤거 하셨나요?구경가야겠다. 보면서 엄청 흐믓하시죠?^^몸이 부서지는줄 ...이란 표현 그만큼 오래 공들이신거죠?시간과 정성이 들어가는만큼 손으로 만드는 작업은 귀해지는거예요. 작품 완성도를 떠나 그 과정이 고스란히 작품과함께 하거든요.작품마다 어떻게 만들었고 저때 무슨일 있었고 등등등...그 시간들을 과정들을 즐겨보세요.이미 관심갖고 만들고 계시는 비비님은 즐기고 계시는건데단지 표현을 고생이라고 쓰시는듯해요.저는 한번도 만드는과정 고생이라는 단어로 표현 해본적 없거든요.ㅋ~~정말 재미있어서 하는거니까 누가 시켜서 하는거 아니니까차근차근 즐기며 하는 그 과정이 결과물 그 이상으로훨씬 더 소중한 시간이기에 즐기다보면 만족스러운 작품다운 완성작이 나오더라고요.^^참!명화그리기와 보석십자수 각각의 매력이 있어서음~저는 보석십자수도 정말 재미있거든요. 우선은 비비님은 꼭 작은 적당한 사이즈로 해보시길 권해드립니다.^^요즘 워낙 다양한 키트 많으니까요. 꼭 해보세요~^^
115,그냥 딱 한마디만 ㅎㅎㅎ난 절대로 못한다는거 ㅎㅎ정말 대단하세요 ㅎㅎㅎ 굿
116,"못 한다가 아니고 보석십자수는 관심이 없으신거.ㅎㅎ제가 그랬거든요.한때 십자수 정말 많이 했었지만 저건 누가하는거야그랬었는데 딸이 실습나가는 곳에 있어서 해봤는데엄청 재미있다며 엄마 좋아하겠다고...^^그러다 우연히 기회가 생겨서 제품받고 해봤는데세상에나 나 왜 이제한거야.~~ㅎㅎㅎ그때부터 쭉~~ 계속이잖아요.^^중독성있어요.바느질, 뜨게만큼이나 요것도 재미, 매력,무엇보다 아이들과도 같이 대화하며 함께 할수도 있고가끔 신랑도 몇개 해보기도 해요.ㅋ~~무엇보다 보석의 반짝임이 행복하게 만들어준답니다.정말 집안에 맞는 적당한 액자나 소품만 즐겨서 한다면완전 딱 강추 좋아요.ㅎㅎ최고로 쉬운거라 대단하다는 소리듣기는 민망수준이고요."
117,"우아~~~~~~  너무 잘하셨네용~~~~작은사이즈는 딸래미랑 해보긴했는데., 저렇게 큰사이즈~~엄두도 못내겠던데..완전 멋져요~~"
118,신세계군요. 저는 이런 거 첨 보는디 ㅎㅎ느므느므 멋집니다.해비라기는 영업집에 선뭏애도 정말 좋아하지만 가정집에고 최고의 선물이죠 금전을 부르는 꽃이라고 하더군요.풍수에도 당연히 좋겠지요 ㅎㅎ즐감하고 갑니다
119,해바라기만 이쁜게 아니고바구니도 넘 넘 이쁜걸요꼼꼼하게 하는 팁도 자세히 알려주시공 ㅎㅎ보석십자수를 해 볼 기회가 되면꼭 참고할께요~
120,유익한 글🙆😄 공감 누르고 갑니다^_____^
121,블링 블링 아주 멋지네요~~
122,너무 예쁘네요 ㅠㅠ 보석십자수는 반짝이는 게 진짜 매력인것 같아요~한 때 해바라기에 빠져서 해바라기 보석십자수만 찾아보다가 포기하길 여러번이었는데 다시 해봐야겟어요 ㅎㅎ
123,너무 너무 멋지세요~~
124,보석 십자수 처음봐요~
125,좋은정보 감사합니다. 즐거운 하루 되세요^^
126,너무 예뻐요^^ 어디서 구입 할 수 있나요?
127,얼마전에 보석십자수 보고 해보고 싶었는데 이렇게보니까 더 하고 싶어지네요~
128,꼭 해보셔요. 하고싶을때 시작하면 더 좋죠.^^저는 별 생각없다가 아니!누가 하냐고 하던 사람인데 ㅎ이렇게 재미있게 쭉~ 이어서 하고 있거든요^^
129,해바라기 십자수 찾다가 블로그 오게 됐어요~~정보 알수 있을까요?
130,크기가 꽤 커서 보관하는 팁들도 볼 수 있었네요 :)할 때는 마냥 눈도 침침해지고 번거롭다고 할 수 있지만노력이 있었기에 볼 때마다 더 예쁘게 느껴질 것 같아요 🧡해바라기 덕분에 더 좋은 운들이 들어오겠는 걸요 ~ :) ❤
131,반짝임이 있는 해바라기라 볼때마다 더 좋아요.직접 만들었으니 더더욱이요~^^워낙 만드는게 일상이기에 번거로운 과정이라기 보다는즐기는편이라 더 큰 디자인이였어도 좋았을겁니다.ㅎㅎ좋은 운이 함께 하겠죠?^^플라워레벤님도 좋은날들 되세요~
132,구매사이트 알고싶은데 공유가능할까요~?
133,저 보석 십자수 라는걸 지금 처음 알았어요! 꼭 퍼즐 맞추는 것처럼 재미가 있겠어요 =)
134,퍼즐맞추기에 비하면 엄청 쉽고 간단하죠.^^완성후 반짝임이 주는 보석의 사랑스러움 끝내주고요.ㅎㅎ기록자님 행복한 10월 되세요~~
135,아직 초록이 손때묻은 집에서 사니 보여줄수도 있고 좋다 나는 내손때 묻은곳 이사오니 내손으로 만든곳이 없어 ㅎ 초록 초록 초록이
136,좋은 글 잘 보고 갑니다~~ 제 블로그도 놀러오세요 친구해요~~ 소통합시다^.^!!
137,아이들과함께  만들어봐도 좋을취미인대요 만들어두니 예뻐요
138,"안녕하세요옵 가을도훈님 ♥♡
올리신 글 재밌게 읽었어요오 !
혹시 소통 이웃 하시나용..? 함께 공유하며 지내요옵 :)"
139,"가을도훈님 유익한 포스팅이 많아서 
다시 되뇌이고 있답니다 :)"
140,"좋은 내용이네요 ㅎ 
오늘도 기운찬 하루 되세요 ╹ ◡ ╹"
141,"블로그 구독했어요
가을도훈님 힘찬 하루 되세요 ≧▽≦"
142,집중럭 가지는데는 갑이겠는데요불금이기다리네요 화이팅하세요
143,네. 정말 집중력 키우기에도 최고죠 :)좋은 주말 보내세요 :)
144,완전 작품입니다~~~~ ^^만들고 나면 전시해놓으면 완전 좋을거 같은걸요
145,네. 액자로 해서 테이블에 올려두니 넘 예쁘네요 :)
146,시간도 잘가고 만들어두면 작품완성 뿌듯하겠어요^^
147,네. 잡생각 떨치기에도 딱이에요 ㅎㅎ
148,"와!! 너무 예쁘게, 멋지게 완성되었네요.그 꾸준함에 박수!!!"
149,네. 가족이 같이 하니까 금방하네요 :)
150,함께하면 더 즐거울것 같아요~멋지네요! ^^
151,네. 아이들이랑 대화도 더 많이 하게 되고 좋더라구요 :)가족취미로 강추 :)
152,하나의 작품이네요👍
153,그쵸. 담번에는 별이 빛나는 밤에 이런 작품도 해보고 싶네요 :)
154,저는 이거 150cm 짜리 샀는데....반도 못붙이고 집구석에 있어요 ㅎㅎㅎ끝까지 하시는 모습보니까 저도 다시 해봐야겠어요!!
155,헐... 150cm이라니...엄청나네요.저도 나중에 도전해볼까봐요. 완전 고급중에 고급이네요. 파이팅입니다 :)
156,오늘 따뜻한 하루의 시작을 이웃님의 정성이 담긴 포스팅을 볼 수 있어서 좋았습니다^^공감&댓글 남기고 갑니다:)ㅎㅎ 내일의 따뜻한 휴일의 쉼이 있기를 응원합니다.남은 하루도 좋은 날 그리고 행복한 날 보내세요~^^
157,보석십자수 정말 멋지게 완성했네~~난 이제 눈아파서 이런걸 할 수 있을지 모르겠~~ㅋㅋ
158,그쵸. 저도 여러가지 색이 섞인거는 조금 어렵더라구요 ^^;;;
159,와 이거 하고있으면 시간 진짜 빨리갈거같아요ㅎㅎ시간 때우기용으로 최고인거같아요ㅋㅋㅋ
160,맞아요. 시간 때우기로 최고 ㅋㅋ
161,예전에 클레이 같이하던 동료가저걸 클레이 작품으로 했었는데 너무 멋지더라~~보석십자수로 해도 완전 작품이네^^
162,네. 다른 명화도 해보고 싶어지네요 :)
163,오매오매해내셨군요축하축하드려요^^멋져힘들어도해내고나면늠 뿌듯하쥬♡
164,네. 하고보니 더 예쁘네요. 액자에 딱 넣어두었어요 :)
165,인내심이  필요하지요.저도 작은거  눈비벼가며  완성했네요겨우겨우
166,그래도 꽤 재미있더라고요. 조만간 하나더 해보려고요 :)
167,이런거 저 너무 너무 좋아해요!애들이 아직 어려서 이런건 못하지만 왠지 잘할 것 같아요 ㅎㅎㅎㅎㅎ
168,이거 초등 학생들도 잘해요. 나중에 도전해보세요 :)
169,와` 많은 노력과 인내의 시간이었을듯?!하고 있으면 시간이 훅 갈거 같아요~ ㅎㅎ완성작이 너무 이쁜데요?!
170,맞아요. 재미도 있고요. 취미생활로 강추하고파요. 쉬워서 애들이랑 하기에도 좋더라구요 :)
171,집중력과 인내심이 필요하겠는데요.멋진 작품 완성이네요.^^
172,아이들이랑 같이하기에 너무 좋았어요 :)
173,와 진짜 한번 시작하면 계속하게 될거 같은데요 !?제가 자취할때 이걸 알았다면 했을거 같아여 ㅠㅠㅠㅠ
174,보석십자수 강추 동그리 크면 그때 같이 해보세요 :)
175,아들 서울대 보내려고 자녀 스마트폰 관리앱 스카이홈 직접 만든 개발자입니다.포스팅 구경 잘했습니다. 행복한 주말 보내세요~
176,집중력키워주고.... 마음안정시킬수 있고..너무나 좋을 거 같아요^^ 행복한 주말시간되세요.
177,보석십자수 3000원짜리  신상어디서 구하나요?안산에는 없어요ㅠ
178,다이소 취미 코너에 없나요? 제가 산 곳은 다양하게 있더라고요.
179,쿠로미랑 마이멜로디 귀엽네요~ 집중력도 쭉쭉:>   ♡♡♡
180,오늘도 공감 누르고갑니다~~~ㅎㅎ
181,영롱하네요....비..티ㅇ..ㅔ 아니 비...ㅈㅡ작품이.....ㅋㅋㅋ
182,세상 귀여운 유니콘 수면등이어요. 아기가 그냥~ 코~하겠습니다.^^
183,그러길 바라며 준비해봤죠~^^홍채님 이번주 더 덥다고하네요건강유의하세요~~
184,이거 구매처 알수있을까유?^^
185,본문에 구매처 적어두었죠.^^;좋은 하루 되세요~
186,보석 십자수 액자만 있는줄알았는데 요거 너무 예쁘네요^^
187,led보석십자수로 검색하면 종류별로 다양하게 많은 아이템들 확인 가능할거예요.요즘은 별거별거 많이 나와요.ㅎㅎㅎ
188,다시 시작된 월요일이네요! 덥고 습한 날씨에 코로나까지 기승이니 건강관리 잘 하시고 오늘도 좋은 하루 되세요^^
189,이번주 더 더워진다고 하더라고요.더군다나 확진자도 많이 늘어나고 있으니정말 지치지 않도록 조심 또 조심해야할 것 같아요.건강유의하세요~
190,멋져요
191,감사합니다.^^예쁘게 봐주셔서 요즘은 뜨개보다 보석십자수를 더 하고 있는것 같아요.^^;;
192,"정성 가득한 포스팅 잘보고 갑니다.
오늘하루도 행복하게 보내세요."
193,반갑습니다.날은 덥지만 지치지 않도록 건강유의 하시고 시원하게 보내세요~~
194,"초록여신님 포스팅 잘 보고 공감 꾹 찍고 갑니다.
앞으로도 자주 소통하며 지냈으면 해서
들렸던 흔적 남기고 갈게요...
오늘도 좋은 하루 보내세요~!"
195,네~~카모나님 반갑습니다.^^이번주 많이 덥다고 하니 건강조심 하시고자주 놀러오세요~
196,"초록여신 잘 보고 갑니다.
좋은 하루 보내세요:)"
197,네~~ 날은 덥지만 좋은 날 보내세요^^
198,led등까지 되니 더욱 사랑스러워요
199,보석십자수도 다양한 종류들이 있어활용하기 좋거든요.요건 아기수면등으로 주인에게 슝~전달되기 전 더 예쁘게 포장도 해볼까합니다.^^
200,"포스팅 너무 잘 보고갑니다!
들렸던 흔적 남기고 갈게요...
오늘도 좋은 하루 보내세요^^"
201,오늘도 아침부터 덥네요~^^더워도 확진자로 무겁지만 마음만은 가볍고 시원하게좋은 날 되시길 바랍니다.힘내세요~~~^^
202,오머나 등으로 활용할 수 있는 비즈공예라니... 넘 귀염뽀짝하니 아이들뿐만 아니라 저도 넘 갖고싶네요 😊ㅎㅎ
203,비즈공예는 아니고요.요 아이들은 접착제로 부착이되는 보석십자수예요^^정말 보석이면 좋겠다 하는 심정으로 만지고는 있습니다.ㅎㅎ기분 좋아지거든요.ㅋ~
204,수면등 너무 이쁘네요~
205,등으로 사용 안 하고 그냥 놓고만 있어도 예뻐요~^^
206,공감하고 갑니다 ^.~
207,감사합니다.더위에 건강유의하세요~~
208,잘보고가요
209,쿨가이님 감사해요~언제든 또 놀러오세요^^
210,얼마전 딸래미가 하는거 봤었는데~토끼 모양이던가;;; 불 켜놓으니까 예쁘긴 하더라구요^^
211,아~~ led보석십자수 했군요.요게 오래 안 걸리고 등으로도 활용할수 있어서 좋아요.^^종류들이 많아서 하는재미 쏠쏠하더라고요~
212,공감 누르고 갈게요 !!제 블로그도 구경와주세요~😊
213,감사합니다. 언제든 또 놀러오세요^^저도 놀러갈게요.ㅎㅎ
214,포스팅 잘보고갑니다!!자주 소통하면서 지내요 ^^
215,네~ 언제든요.^^더위에 건강조심하시고요 자주 놀러오세요.ㅎㅎ
216,초록여신님 들렸다가요~하루하루를 행복한 시간으로 가득 채우시길 바랍니다!! 화이팅!
217,캘리맨님 감사합니다.님도 행복만땅 좋은 날 되세요~^^
218,아이들이 좋아하겠어요~잘 보고 갑니다^^
219,저도 좋아하는걸요.ㅎㅎ그리고 요건 아기수면등으로 만든거라아기엄마가 더 좋아한답니다.^^
220,더운 월요일 맛있는 점심 드셨나요? 남은 하루도 기운내고 으쌰으쌰 해봐요~~~
221,"정성스런 글 잘보고갑니다~더위에 건강조심하시고
이번주도 활기찬 한주되세요!!"
222,잘 보고 갑니다.오늘 하루도 고생 많으셨습니다.내일도 힘찬 하루 되세요.
223,
224,좋은정보 감사합니다💚
225,수면등 넘 이뻐요♡♡♡왠지 아기가 행복한 꿈을 꾸며 잘것 같아요 ㅎㅎ
226,아고 이뻐라~^^너무 이뻐서 보고만 있어도저절로 잠이 올듯 싶어요~ ㅋ언니 날 더운데 건강유의하세요~
227,초록여신님 포스팅 잘 봤습니다.다음에도 좋은 글 자주 부탁 드립니다!!^^
228,좋은정보 감사합니다. 즐거운 하루 되세요^^
229,안녕하세요~~~ 구매처를 좀 알수있을까요?? 너무 이쁘네요ㅠㅠ
230,유니콘 구매처 좀 알고 싶어요. 그리고 유익한정보 감사합니다.
231,저도 구매처 궁금해요~
232,너무 예쁘네요 혹시 구매처를 알수 있을까요 ?
233,오~ 이거 예쁜데? 나도 사고 싶엉~ 설명도 정성껏 해준 초록이 짱이네~
234,좋은정보 감사요! 전 이것도 좋더라구요. 추천!https://bit.ly/3BoXmcW
235,
236,
237,"매달린만큼 보람있는 보석십자수완성이네요~~!!맞아요,뭐든 시작하면 언능 완성 중요하죠 ㅎㅎ재택근무 부럽네요~ㅎㅎ저녁도 맛있게 드시구요~~"
238,해피님은 간호사님이셔서~ 재택근무가 어려우시죠? 추운 날 감기 조심하세요! 오늘 하루도 고생 많으셨어요.
239,"ㅋㅋㅋ 이거 은근 힘들던데,, 대단함니다"
